name,rating,vicinity,type,arrondissement,latitude,longitude,user_ratings_total,zip_code
Le Fumoir,4.4,"6 Rue de l'Amiral de Coligny, Paris",restaurant,1er,48.8604263,2.3409253,3907,75001
Cosi,4.5,"54 Rue de Seine, Paris",restaurant,1er,48.8541217,2.3368896,1131,75001
Le Café Marly,3.7,"93 Rue de Rivoli, Paris",restaurant,1er,48.86166890000001,2.3359927,7593,75001
"La Fontaine Gaillon, Restaurant & Cocktail Bar",4.2,"1 Rue de la Michodière, Paris",restaurant,1er,48.86909199999999,2.334237,322,75001
Compose - Hôtel de Ville,4.1,"8 Rue Saint-Martin, Paris",restaurant,1er,48.857583,2.349440299999999,204,75001
Eden Park Pub Paris,4.5,"10 Rue Princesse, Paris",restaurant,1er,48.852346,2.334444,621,75001
Le Relais de l'Entrecôte,4.2,"20 Rue Saint-Benoît, Paris",restaurant,1er,48.85462099999999,2.3328647,6151,75001
Shu,4.7,"8 Rue Suger, Paris",restaurant,1er,48.85304559999999,2.3422136,436,75001
Le Monteverdi,4.5,"5 Rue Guisarde, Paris",restaurant,1er,48.8518912,2.334929499999999,1189,75001
L'Absinthe,4.4,"24 Place du Marché Saint-Honoré, Paris",restaurant,1er,48.8664836,2.3320624,808,75001
Starbucks Coffee,3.7,"26 Avenue de l'Opéra, Paris",restaurant,1er,48.8668584,2.3342304,2866,75001
Le Paradis du Fruit - Les Halles,4.3,"4 Rue Saint-Honoré, Paris",restaurant,1er,48.861123,2.345058,9874,75001
Kong,3.7,"1 Rue du Pont Neuf, Paris",restaurant,1er,48.8592395,2.343153,4944,75001
Lucas Carton,4.5,"9 Place de la Madeleine, Paris",restaurant,1er,48.8696812,2.3231271,680,75001
Le Soufflé,4.6,"36 Rue du Mont Thabor, Paris",restaurant,1er,48.8664661,2.3264324,2735,75001
Restaurant Drouant,4.2,"16-18 Rue Gaillon, Paris",restaurant,1er,48.86874650000001,2.334434,976,75001
